Date,Product,Quantity,Price,Customer
2023-10-17,Product_1,6,61.612704126658,Customer_39
2023-01-26,Product_6,4,25.23537569399543,Customer_88
2023-01-28,Product_7,3,52.29061718081057,Customer_86
2023-03-23,Product_1,8,63.57011819822807,Customer_32
2023-02-27,Product_8,7,30.40480902704706,Customer_27
2023-07-19,Product_10,1,52.9458506825079,Customer_76
2023-07-08,Product_4,10,76.79277299267073,Customer_94
2023-05-20,Product_5,6,11.127192588240284,Customer_29
2023-06-17,Product_9,6,68.16975098710141,Customer_69
2023-04-23,Product_8,8,37.52859955927413,Customer_69
2023-07-28,Product_5,3,15.603651250621107,Customer_95
2023-05-18,Product_6,9,33.52216471069798,Customer_75
2023-01-03,Product_3,10,28.421535869028826,Customer_8
2023-02-26,Product_6,4,88.09265452562569,Customer_34
2023-11-22,Product_7,5,35.249228863566444,Customer_6
2023-10-15,Product_4,8,29.487649447901912,Customer_77
2023-07-08,Product_2,9,40.21981131993634,Customer_36
2023-12-23,Product_3,6,14.173897602686798,Customer_99
2023-10-03,Product_1,6,88.70969420911526,Customer_42
2023-12-09,Product_4,1,33.51464154524879,Customer_6
2023-03-15,Product_5,3,21.74775283425956,Customer_35
2023-09-21,Product_8,5,92.29816953824441,Customer_23
2023-08-26,Product_4,1,61.577808459422236,Customer_72
2023-09-02,Product_3,5,47.065651550231394,Customer_62
2023-07-22,Product_10,5,96.61536717503205,Customer_52
2023-05-09,Product_8,6,73.71736806902973,Customer_24
2023-12-07,Product_6,2,59.94734663877454,Customer_69
2023-01-28,Product_7,9,35.19099851497648,Customer_73
2023-09-28,Product_4,5,59.46494118970855,Customer_41
2023-09-17,Product_8,3,69.46326576041358,Customer_61
2023-03-05,Product_1,8,48.341627494156064,Customer_45
2023-10-19,Product_7,1,93.40337755981535,Customer_96
2023-05-05,Product_7,7,71.36447703607736,Customer_12
2023-11-13,Product_10,4,35.7235561958125,Customer_50
2023-09-03,Product_6,7,86.47279333557083,Customer_88
2023-03-06,Product_4,5,10.133140731325135,Customer_45
2023-01-02,Product_2,4,35.364050531843226,Customer_51
2023-08-16,Product_1,2,35.83534596560205,Customer_91
2023-10-01,Product_9,6,40.23226745716129,Customer_5
2023-05-09,Product_10,4,92.95483032879972,Customer_8
2023-08-19,Product_4,10,64.97901100177766,Customer_28
2023-12-13,Product_4,3,68.21452404381185,Customer_58
2023-02-25,Product_1,10,10.230310938439715,Customer_50
2023-09-02,Product_7,4,32.89300068659639,Customer_93
2023-02-28,Product_2,1,69.79357231259273,Customer_88
2023-10-16,Product_6,7,83.88625312193828,Customer_27
2023-09-08,Product_4,3,28.877201213663938,Customer_66
2023-08-10,Product_4,10,99.2655555569885,Customer_1
2023-06-02,Product_4,3,26.08222190872353,Customer_9
2023-12-11,Product_1,5,13.46371353531213,Customer_81
2023-10-17,Product_2,9,68.97533087331664,Customer_87
2023-02-15,Product_1,1,10.942360741323458,Customer_78
2023-09-10,Product_7,1,23.681182939594194,Customer_53
2023-09-03,Product_3,10,29.168923837757248,Customer_42
2023-12-16,Product_9,6,57.72902123586446,Customer_64
2023-02-11,Product_7,4,92.10458223905205,Customer_51
2023-05-16,Product_9,7,21.276300644859468,Customer_51
2023-03-03,Product_6,8,67.18083792741606,Customer_90
2023-10-17,Product_2,8,90.0603002648538,Customer_7
2023-10-25,Product_1,6,54.87663303231122,Customer_33
2023-05-12,Product_8,1,83.45075149118195,Customer_57
2023-08-11,Product_1,5,16.428846447326023,Customer_10
2023-03-23,Product_9,10,10.99257828298651,Customer_95
2023-02-13,Product_3,1,68.50342627668284,Customer_24
2023-02-26,Product_8,2,69.9282053498307,Customer_23
2023-06-26,Product_9,2,72.46296332731848,Customer_44
2023-03-05,Product_6,3,10.866970607456885,Customer_57
2023-09-14,Product_4,7,66.80208899398903,Customer_65
2023-03-26,Product_5,1,23.08333182299381,Customer_77
2023-09-05,Product_6,9,13.423192205401627,Customer_14
2023-01-08,Product_4,5,38.55883870952069,Customer_6
2023-01-14,Product_8,10,12.187842620429521,Customer_11
2023-08-13,Product_6,10,37.979069860278784,Customer_27
2023-08-10,Product_8,2,25.637055820740823,Customer_18
2023-01-26,Product_8,10,11.102395464518468,Customer_98
2023-07-14,Product_7,3,20.2042809938712,Customer_36
2023-04-22,Product_6,9,34.33829606929135,Customer_73
2023-08-16,Product_5,4,89.11037463549577,Customer_78
2023-11-28,Product_2,8,97.92972326329931,Customer_85
2023-04-20,Product_8,6,56.6023228701042,Customer_20
2023-04-06,Product_8,7,46.242942518925176,Customer_85
2023-02-19,Product_10,6,92.26642303587737,Customer_24
2023-12-13,Product_9,5,93.11593870311728,Customer_96
2023-03-24,Product_3,9,33.27878123558877,Customer_8
2023-04-18,Product_5,7,13.997493560179073,Customer_1
2023-03-12,Product_1,1,89.39125191687228,Customer_83
2023-05-01,Product_3,6,60.35420844525559,Customer_63
2023-04-01,Product_9,10,72.82368639762652,Customer_85
2023-03-11,Product_3,8,19.468173509806128,Customer_64
2023-08-27,Product_5,7,90.92519421772965,Customer_24
2023-09-06,Product_3,8,99.50289517627502,Customer_93
2023-09-28,Product_9,5,19.97216504813425,Customer_46
2023-04-06,Product_4,4,50.55452468850048,Customer_72
2023-08-15,Product_4,10,21.08514430962243,Customer_79
2023-10-26,Product_5,1,89.56476806499225,Customer_46
2023-01-12,Product_6,5,30.81626804884682,Customer_12
2023-06-06,Product_5,2,43.97142873409737,Customer_91
2023-03-17,Product_9,10,61.54454334072007,Customer_72
2023-08-02,Product_2,5,59.32567067084973,Customer_41
2023-09-17,Product_6,10,71.6467939788363,Customer_47
2023-03-14,Product_9,10,37.194610137109564,Customer_22
2023-06-26,Product_3,2,93.5253043814784,Customer_71
2023-09-25,Product_3,8,67.85046043775827,Customer_71
2023-10-08,Product_6,3,59.973918696818075,Customer_2
2023-09-27,Product_7,3,60.350142993251,Customer_26
2023-10-19,Product_7,5,11.149886262919416,Customer_82
2023-06-25,Product_9,3,66.98388447014221,Customer_88
2023-02-08,Product_7,2,46.96605418373794,Customer_63
2023-05-17,Product_3,2,78.28089077121382,Customer_27
2023-03-27,Product_9,1,69.08445887443546,Customer_61
2023-07-26,Product_2,7,80.13171534845544,Customer_64
2023-11-22,Product_10,2,96.99818113159492,Customer_25
2023-05-12,Product_8,8,16.56686560119799,Customer_80
2023-02-10,Product_6,9,96.04670196416097,Customer_10
2023-06-15,Product_5,2,86.45878220598209,Customer_21
2023-09-22,Product_2,5,38.84726512209473,Customer_54
2023-01-03,Product_1,7,98.5340573392864,Customer_33
2023-01-23,Product_1,8,62.03558101527429,Customer_83
2023-06-12,Product_9,6,89.108422225096,Customer_7
2023-03-22,Product_1,3,35.34493223561644,Customer_90
2023-04-28,Product_9,6,22.326226545100113,Customer_34
2023-05-16,Product_10,1,91.738929938862,Customer_48
2023-11-11,Product_8,6,11.281246982679138,Customer_28
2023-08-06,Product_6,2,81.51655091422563,Customer_33
2023-04-07,Product_8,6,29.164983180959585,Customer_23
2023-12-12,Product_4,8,46.22752638888591,Customer_57
2023-07-14,Product_5,10,92.40851441160201,Customer_89
2023-12-06,Product_5,4,94.7818115400582,Customer_45
2023-06-23,Product_4,4,56.181701440093974,Customer_30
2023-12-15,Product_8,9,79.72349732525919,Customer_91
2023-04-03,Product_10,3,47.84794545655234,Customer_83
2023-12-12,Product_9,7,30.007747682477657,Customer_4
2023-09-15,Product_10,1,66.24427373108773,Customer_36
2023-06-20,Product_7,3,19.694458433641007,Customer_88
2023-11-22,Product_8,8,30.671797745839477,Customer_74
2023-10-15,Product_4,8,85.40228540050266,Customer_28
2023-10-07,Product_6,2,54.623187064540474,Customer_36
2023-05-05,Product_4,3,16.22552094505241,Customer_10
2023-04-13,Product_9,5,14.720245822843607,Customer_35
2023-12-18,Product_7,7,78.44426211496835,Customer_77
2023-07-05,Product_6,10,57.068717822308905,Customer_31
2023-12-02,Product_3,5,23.30668870701276,Customer_45
2023-12-26,Product_4,10,51.90453542611421,Customer_14
2023-05-06,Product_7,10,90.26908847907623,Customer_100
2023-01-06,Product_1,9,67.26069729602106,Customer_19
2023-06-09,Product_2,2,61.18988327424909,Customer_58
2023-05-24,Product_2,6,62.66385138892533,Customer_12
2023-01-10,Product_9,8,84.2813349342486,Customer_98
2023-03-13,Product_6,7,35.308427015310585,Customer_98
2023-12-28,Product_8,10,94.7591097479527,Customer_76
2023-10-17,Product_1,8,68.83462443964973,Customer_39
2023-05-05,Product_2,9,34.10944897143587,Customer_27
2023-11-25,Product_6,3,53.31848594885471,Customer_84
2023-08-18,Product_1,2,57.31342627715772,Customer_72
2023-07-12,Product_4,1,85.76715681722015,Customer_62
2023-06-20,Product_6,4,43.48692607103302,Customer_64
2023-09-23,Product_5,2,92.11416755273477,Customer_83
2023-03-11,Product_10,4,59.17579265200989,Customer_16
2023-09-04,Product_4,10,55.18982361543339,Customer_23
2023-03-15,Product_9,10,57.45948479534918,Customer_88
2023-07-20,Product_5,7,98.65560200185958,Customer_26
